Name,Outbound Caller ID,Trunks,Rrmemory Hunt,Extensions,Outbound Route Password,PIN,PIN List
Out,,ToDinstar,0,205&206&215,disable,,
,Pattern,Strip,Prepend
,+9715x.,4,0
,009715x.,5,0
,+971[23-9]x.,4,0
,00971[23-9]x.,5,0
,X.,,
Qatar_Landline,,Qatar-Pbx,0,207&208,disable,,
,Pattern,Strip,Prepend
,X.,,
to-Qatar,,Qatar-Pbx&Qatar_gateway,0,214,disable,,
,Pattern,Strip,Prepend
,X.,,
,+X.,,
Qatar_internal,,Qatar-Pbx,0,214,disable,,
,Pattern,Strip,Prepend
,5XX.,,
Yusuf,,ToDinstar,0,,disable,,
,Pattern,Strip,Prepend
,X.,,
,+971X.,4,
Local_call,,FXO1-1&FXO1-2,0,216,disable,,
,Pattern,Strip,Prepend
,+9715x.,4,0
,009715x.,5,0
,+971[23-9]x.,4,0
,00971[23-9]x.,5,0
,0[23-9]x.,,
,05x.,,
,008816X.,6,0
Demo,,FXO1-1&FXO1-2,0,,disable,,
,Pattern,Strip,Prepend
,X.,,
,+971X.,4,
